City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
313,Cidreira,BR,70.56,clear sky,-30.1811,-50.2056,Hotel Castelo
322,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
323,Tezpur,IN,71.94,broken clouds,26.6333,92.8,Hotel Kanyapur
330,Matara,LK,76.39,few clouds,5.9485,80.5353,Amaloh Boutique Resort
332,Matadi,CD,76.3,light rain,-5.8167,13.45,Hotel Vivi Palace
338,Paita,PE,72.97,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
340,Sao Joao Da Barra,BR,76.48,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
343,Dharmanagar,IN,73.58,clear sky,24.3667,92.1667,Juri Lodge
345,Bengkulu,ID,79.07,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
347,Muswellbrook,AU,72.25,overcast clouds,-32.2667,150.9,Wayfarer Motel
348,Grand Gaube,MU,76.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
350,Itarema,BR,74.8,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
351,Cap Malheureux,MU,76.46,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
353,Catio,GW,73.42,overcast clouds,11.2833,-15.25,Pausada Morabedja
354,Turbat,PK,79.11,clear sky,26.0023,63.044,Mubashar Quarters
355,Silver City,US,71.56,clear sky,32.7701,-108.2803,Copper Manor Motel
357,Pipraich,IN,76.69,clear sky,26.8264,83.53,Rajpoot niwas
358,Bahia De Caraquez,EC,78.98,overcast clouds,-0.6,-80.4167,Saiananda Eco-Hotel
366,Piacabucu,BR,77.56,few clouds,-10.4056,-36.4344,Piaçabuçu News
367,Urucui,BR,75.15,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
371,Tignere,CM,70.48,overcast clouds,7.3667,12.65,SADECK
388,Keti Bandar,PK,77.16,clear sky,24.1447,67.4497,Haji laloo memon house
391,Sao Miguel Do Araguaia,BR,75.7,clear sky,-13.275,-50.1628,Hotel Executivo Palace
394,Panuco,MX,75.94,clear sky,22.05,-98.1667,Hotel Plaza
397,Pirenopolis,BR,77.49,clear sky,-15.8525,-48.9592,Hotel Pousada Mandala
398,Black River,JM,77.58,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
400,San Jose,US,78.58,broken clouds,37.3394,-121.895,The Westin San Jose
402,Luanda,AO,78.8,few clouds,-8.8368,13.2343,EPIC SANA Luanda
406,Ibotirama,BR,77.72,broken clouds,-12.1853,-43.2206,Serra do Rio Hotel
415,Rawson,AR,70.09,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
416,Morondava,MG,76.15,clear sky,-20.2833,44.2833,La Case Bambou
419,Jalu,LY,73.85,overcast clouds,29.0331,21.5482,صاحبة الفخامة
420,Xuddur,SO,74.88,overcast clouds,4.1213,43.8894,Banjanay Hotel
423,Yulara,AU,71.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
426,Takaka,NZ,71.56,clear sky,-40.85,172.8,Golden Bay Motels
427,Vanimo,PG,79.32,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
429,Bandarbeyla,SO,76.6,clear sky,9.4942,50.8122,JABIR HOTEL
432,Celestun,MX,78.84,broken clouds,20.8667,-90.4,Posada Lilia
439,Camargo,MX,79.29,clear sky,27.6667,-105.1667,Hotel Santa Fe
445,Deming,US,75.33,clear sky,32.2687,-107.7586,Best Western Deming Southwest Inn
450,Kutum,SD,71.58,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
453,Sola,VU,75.87,overcast clouds,-13.8833,167.55,Leumerus Bungalows
456,Albina,SR,74.03,overcast clouds,5.5,-54.05,Hudace
459,Angoche,MZ,76.69,few clouds,-16.2325,39.9086,Guest House HESADA
461,Sechura,PE,72.34,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
462,Cessnock,AU,75.13,overcast clouds,-32.8333,151.35,Hunter Valley Motel
482,Jerez,GT,75.63,overcast clouds,14.1,-89.75,Auto hotel Esmeralda
483,Half Moon Bay,US,77.25,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
490,Port-Gentil,GA,77.81,overcast clouds,-0.7193,8.7815,Fengshui Residence
492,Flinders,AU,76.05,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
506,Veraval,IN,75.58,clear sky,20.9,70.3667,Lords Inn Somnath
507,Lovington,US,74.25,clear sky,32.944,-103.3485,Buena vida rv parks
508,Nombre De Dios,MX,76.59,overcast clouds,23.85,-104.2333,Uraján de Luna Hotel Boutique & SPA
510,Kawalu,ID,77.74,light rain,-7.3817,108.2082,West Jontor
513,Zwedru,LR,73.0,light rain,6.0667,-8.1281,Elijah Worjloh
517,Rumonge,BI,70.74,overcast clouds,-3.9736,29.4386,Kwetu Guest House
541,Tabou,CI,78.04,overcast clouds,4.423,-7.3528,hotêl doufoulougou
542,Chau Doc,VN,74.07,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
547,High Rock,BS,76.77,light rain,26.6208,-78.2833,Hideaway Bahamas Beach Club
550,Dicabisagan,PH,78.44,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
557,Meulaboh,ID,77.36,light rain,4.1363,96.1285,Kost Pria
562,Urucara,BR,74.32,light rain,-2.5364,-57.76,Pousada Maria Bonita
569,Chicama,PE,71.69,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
576,Souillac,MU,75.58,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
585,Port Pirie,AU,70.5,clear sky,-33.1833,138.0167,John Pirie Motor Inn
589,Mazamari,PE,70.27,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
591,El Alto,PE,70.75,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
593,Behbahan,IR,70.38,clear sky,30.5959,50.2417,شهرکدامداران ماهشهر
600,Galle,LK,78.15,few clouds,6.0367,80.217,Amangalla
606,Grenville,GD,79.16,scattered clouds,12.1167,-61.6167,Valley Breeze Guest House
607,Caravelas,BR,76.35,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
611,Mocorito,MX,70.27,few clouds,25.4833,-107.9167,Casa de Don Eustaquio
613,Zemio,CF,74.05,overcast clouds,5.0314,25.1361,OCHA Office
615,Pimentel,PE,70.07,broken clouds,-6.8367,-79.9342,Hotel Puerto del Sol
616,Salinas,US,72.21,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
617,Sao Felix Do Xingu,BR,72.99,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
618,Pontianak,ID,78.78,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
625,Kalmunai,LK,77.43,scattered clouds,7.4167,81.8167,VS Villa
628,Santa Quiteria,BR,71.13,broken clouds,-4.3319,-40.1567,Tahen Hotel
631,Mae Ramat,TH,72.1,overcast clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
632,Kuala Terengganu,MY,78.6,light rain,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
635,Minab,IR,76.12,clear sky,27.1467,57.0801,Bam campground
649,Papara,BR,75.69,overcast clouds,-3.9839,-38.7273,Bela vista Maranguape
654,Trairi,BR,74.71,overcast clouds,-3.2778,-39.2689,janelas do mar
655,Bataipora,BR,72.36,overcast clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
657,Sawtell,AU,79.18,overcast clouds,-30.3833,153.1,The Bungalow Sawtell
662,Antsohihy,MG,72.0,clear sky,-14.8796,47.9875,Hotel de Ville
670,Mancora,PE,77.04,overcast clouds,-4.1078,-81.0475,Máncora Marina Hotel
673,Moa,CU,77.72,broken clouds,20.6569,-74.9403,Carmen
675,Kalawit,PH,76.59,light rain,8.0667,122.5167,Ompoy Pension House
683,Dahod,IN,75.78,clear sky,22.8333,74.2667,Hotel Laxmi Inn
684,Lazaro Cardenas,MX,74.77,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
688,Talara,PE,71.98,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
