City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Seoul,KR,37.5683,126.9778,49.44,54,0,1.14,clear sky
150,Ukiah,US,39.1502,-123.2078,74.64,48,99,4.83,overcast clouds
151,Viedma,AR,-40.8135,-62.9967,69.04,34,71,26.31,broken clouds
152,Sitka,US,57.0531,-135.33,40.89,75,100,16.11,moderate rain
153,Foam Lake,CA,51.65,-103.5343,32.02,93,100,6.73,overcast clouds
154,Buraydah,SA,26.326,43.975,68.45,14,99,5.66,overcast clouds
155,Ust-Ishim,RU,57.6935,71.1665,23.58,97,64,5.86,broken clouds
156,Ponta Do Sol,PT,32.6667,-17.1,62.01,82,100,10.22,overcast clouds
157,Pangnirtung,CA,66.1451,-65.7125,15.58,85,96,6.06,overcast clouds
158,Sarakhs,IR,36.5449,61.1577,61.14,34,0,11.68,clear sky
159,Tuatapere,NZ,-46.1333,167.6833,61.39,63,19,8.1,few clouds
160,Lensk,RU,60.7253,114.9278,15.42,89,100,6.26,overcast clouds
161,Klaksvik,FO,62.2266,-6.589,45.52,90,100,20.2,overcast clouds
162,Sistranda,NO,63.7256,8.834,37.35,79,100,21.3,overcast clouds
163,Linxia,CN,35.6003,103.2064,47.52,30,100,1.19,overcast clouds
164,Bathsheba,BB,13.2167,-59.5167,77.61,69,40,19.57,scattered clouds
165,Puerto Ayora,EC,-0.7393,-90.3518,78.55,96,62,1.01,broken clouds
166,Tiksi,RU,71.6872,128.8694,1.06,98,100,7.29,overcast clouds
167,Jalpan,MX,21.2333,-99.4833,79.88,56,0,3.89,clear sky
168,Bethel,US,41.3712,-73.414,45.93,57,98,1.34,overcast clouds
169,Chuy,UY,-33.6971,-53.4616,62.62,78,0,10.94,clear sky
170,Ekhabi,RU,53.5102,142.9671,32.68,94,8,6.4,clear sky
171,Ostrovnoy,RU,68.0531,39.5131,16.02,92,100,12.66,overcast clouds
172,Swan Hill,AU,-35.3378,143.5544,58.78,76,100,2.21,overcast clouds
173,Lompoc,US,34.6391,-120.4579,60.57,80,100,5.99,overcast clouds
174,Coahuayana,MX,18.7333,-103.6833,72.46,75,0,4.74,clear sky
175,Camacha,PT,33.0833,-16.3333,58.42,77,40,11.5,scattered clouds
176,Lyubim,RU,58.3625,40.6843,27.55,95,100,11.9,snow
177,Pizhanka,RU,57.4604,48.542,32.54,98,100,13.62,overcast clouds
178,Port Keats,AU,-14.25,129.55,88.48,53,6,4.54,clear sky
179,Oksfjord,NO,70.2396,22.3479,10.99,87,82,7.47,broken clouds
180,Ulkan,RU,57.243,107.3223,21.78,85,100,11.34,light snow
181,Moss Point,US,30.4116,-88.5345,64.45,69,0,5.46,clear sky
182,Tura,IN,25.5198,90.2201,71.08,89,4,4.07,moderate rain
183,Banda Aceh,ID,5.5577,95.3222,80.06,79,100,3.56,overcast clouds
184,Port Elizabeth,ZA,-33.918,25.5701,63.32,99,100,8.05,light rain
185,Gushikawa,JP,26.3544,127.8686,62.19,88,100,8.05,moderate rain
186,Bulungu,CD,-4.55,18.6,69.22,97,100,1.34,overcast clouds
187,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,77,100,4.61,light snow
188,Chibuto,MZ,-24.6867,33.5306,71.92,84,46,7.31,light rain
189,Oranjemund,NA,-28.55,16.4333,56.21,95,72,1.59,broken clouds
190,Shingu,JP,33.7333,135.9833,51.44,90,100,9.57,light rain
191,Tazmalt,DZ,36.3868,4.3989,40.57,73,48,3.69,scattered clouds
192,Hay River,CA,60.8156,-115.7999,3.18,78,75,9.22,broken clouds
193,Kudahuvadhoo,MV,2.6708,72.8944,82.51,67,2,2.8,clear sky
194,Torbay,CA,47.6666,-52.7314,36.57,87,75,21.85,broken clouds
195,Olafsvik,IS,64.8945,-23.7142,42.69,98,100,10.58,light rain
196,Pangody,RU,65.85,74.4859,-6.39,100,82,6.89,broken clouds
197,Puerto Escondido,MX,15.85,-97.0667,79.52,63,77,6.04,broken clouds
198,Yerbogachen,RU,61.2767,108.0108,13.62,89,100,10.94,overcast clouds
199,Juneau,US,58.3019,-134.4197,43.99,89,100,5.68,overcast clouds
200,Bambanglipuro,ID,-7.95,110.2833,80.94,77,10,1.83,clear sky
201,Nanortalik,GL,60.1432,-45.2371,35.73,92,100,8.57,overcast clouds
202,Gezing,AT,47.9178,13.1299,30.34,99,75,5.75,broken clouds
203,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,70.84,62,32,4.76,scattered clouds
204,Sorong,ID,-0.8833,131.25,81.66,81,100,6.8,overcast clouds
205,Kapit,MY,2.0167,112.9333,77.67,91,100,0.63,overcast clouds
206,Honiara,SB,-9.4333,159.95,85.33,70,46,5.82,scattered clouds
207,Hamilton,US,39.1834,-84.5333,50.23,58,100,1.99,overcast clouds
208,Port Macquarie,AU,-31.4333,152.9167,73.89,45,97,4.52,overcast clouds
209,Zambezi,ZM,-13.5432,23.1047,65.59,89,98,5.14,overcast clouds
210,Srednekolymsk,RU,67.45,153.6833,-0.15,80,68,3.65,broken clouds
211,Lichinga,MZ,-13.3128,35.2406,66.29,94,75,9.22,thunderstorm
212,Socha,CO,5.9976,-72.6928,53.1,89,52,3.96,broken clouds
213,Lithakia,GR,37.7167,20.8333,54.59,70,22,11.95,few clouds
214,Kaitangata,NZ,-46.2817,169.8464,64.62,53,88,7.78,overcast clouds
215,Sandy Bay,AU,-42.913,147.3532,61.3,73,100,8.05,overcast clouds
